Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
6978.HK,IMMUNOTECH-B,Health Care,HKG,HKD,5.2,2.675836672
6996.HK,ANTENGENE-B,Health Care,HKG,HKD,6.56,4.67061504
6998.HK,GENOR-B,Health Care,HKG,HKD,3.33,1.681663232
9688.HK,ZAI LAB-SB,Health Care,HKG,HKD,22.95,22.470047744
9926.HK,AKESO-B,Health Care,HKG,HKD,17.4,14.216792064
9939.HK,KINTOR PHARMA-B,Health Care,HKG,HKD,22.9,8.875810816
9966.HK,ALPHAMAB-B,Health Care,HKG,HKD,7.84,7.353959424
9969.HK,INNOCARE-B,Health Care,HKG,HKD,10.5,15.746535424
9995.HK,REMEGEN-B,Health Care,HKG,HKD,29.65,14.523666432
9996.HK,PEIJIA-B,Health Care,HKG,HKD,6.43,4.286842368
9997.HK,KANGJI MEDICAL,Health Care,HKG,HKD,6.66,8.292898816
0020.HK,SENSETIME-W,Information Technology,HKG,HKD,5.87,196.688429056
0136.HK,CHINA RUYI,Information Technology,HKG,HKD,2.19,20.486682624
0268.HK,KINGDEE INT'L,Information Technology,HKG,HKD,14.68,50.995822592
0285.HK,BYD ELECTRONIC,Information Technology,HKG,HKD,17.26,38.89022976
0302.HK,CMGE,Information Technology,HKG,HKD,2.05,5.674502144
0303.HK,VTECH HOLDINGS,Information Technology,HKG,HKD,60.0,15.142739968
0327.HK,PAX GLOBAL,Information Technology,HKG,HKD,6.35,6.848221184
0354.HK,CHINASOFT INT'L,Information Technology,HKG,HKD,7.2,22.075631616
0522.HK,ASM PACIFIC,Information Technology,HKG,HKD,71.35,29.446500352
0552.HK,CHINACOMSERVICE,Information Technology,HKG,HKD,3.7,25.626273792
0696.HK,TRAVELSKY TECH,Information Technology,HKG,HKD,13.08,38.27482624
0700.HK,TENCENT,Information Technology,HKG,HKD,359.0,3450.704494592
0763.HK,ZTE,Information Technology,HKG,HKD,17.08,125.615710208
0777.HK,NETDRAGON,Information Technology,HKG,HKD,15.8,8.543438848
0799.HK,IGG,Information Technology,HKG,HKD,3.3,3.950528768
0856.HK,VSTECS,Information Technology,HKG,HKD,6.14,8.932901888
0861.HK,DC HOLDINGS,Information Technology,HKG,HKD,3.87,6.476560896
