Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,NYQ,USD,15.29,6.374278656
NRG,NRG Energy,Utilities,NYQ,USD,45.49,11.137726464
NUE,Nucor,Materials,NYQ,USD,130.71,37.35678976
NVDA,Nvidia,Information Technology,NMS,USD,183.2,456.534392832
NVR,NVR,Consumer Discretionary,NYQ,USD,4387.68,15.28119296
NXPI,NXP,Information Technology,NMS,USD,184.57,49.083252736
ORLY,O'Reilly Automotive,Consumer Discretionary,NMS,USD,624.61,42.085220352
OXY,Occidental Petroleum,Energy,NYQ,USD,70.42,65.770938368
ODFL,Old Dominion,Industrials,NMS,USD,257.42,29.60613376
OMC,Omnicom Group,Communication Services,NYQ,USD,72.92,15.499802624
OKE,Oneok,Energy,NYQ,USD,66.85,29.810886656
ORCL,Oracle,Information Technology,NYQ,USD,71.6,191.204212736
OGN,Organon,Health Care,NYQ,USD,37.75,9.57151232
OTIS,Otis,Industrials,NYQ,USD,73.97,31.420162048
PCAR,Paccar,Industrials,NMS,USD,88.54,30.739050496
PKG,Packaging Corporation of America,Materials,NYQ,USD,157.47,14.958201856
PARA,Paramount,Communication Services,NMS,USD,32.35,0.0
PH,Parker,Industrials,NYQ,USD,272.5,35.020337152
PAYX,Paychex,Information Technology,NMS,USD,122.26,44.106149888
PAYC,Paycom,Information Technology,NYQ,USD,282.18,16.938080256
PYPL,PayPal,Information Technology,NMS,USD,82.48,96.908230656
PENN,Penn National Gaming,Consumer Discretionary,NMS,USD,31.88,5.40410624
PNR,Pentair,Industrials,NYQ,USD,49.58,8.204399616
PEP,PepsiCo,Consumer Staples,NMS,USD,166.49,230.197395456
PKI,PerkinElmer,Health Care,NYQ,USD,146.1,18.437820416
PFE,Pfizer,Health Care,NYQ,USD,52.37,293.94599936
PM,Philip Morris International,Consumer Staples,NYQ,USD,105.76,164.650336256
PSX,Phillips 66,Energy,NYQ,USD,103.18,45.213679616
PNW,Pinnacle West,Utilities,NYQ,USD,77.43,8.73557504
PXD,Pioneer Natural Resources,Energy,NYQ,USD,277.82,67.825307648
PNC,PNC Financial Services,Financials,NYQ,USD,172.44,72.88020992
POOL,Pool Corporation,Consumer Discretionary,NMS,USD,393.04,15.756187648
PPG,PPG Industries,Materials,NYQ,USD,125.37,29.762963456
PPL,PPL,Utilities,NYQ,USD,29.93,22.468931584
PFG,Principal,Financials,NMS,USD,71.6,18.97893888
PG,Procter & Gamble,Consumer Staples,NYQ,USD,145.64,352.441532416
PGR,Progressive,Financials,NYQ,USD,118.47,69.2338688
PLD,Prologis,Real Estate,NYQ,USD,125.86,93.051691008
PRU,Prudential,Financials,NYQ,USD,105.32,39.810961408
PEG,PSEG,Utilities,NYQ,USD,68.1,34.435719168
