Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions),TargetPrice,As_of_Date
MCHP,Microchip,Information Technology,NMS,USD,71.16,39.4846208,,2022-06-03
MU,Micron,Information Technology,NMS,USD,73.55,82.388508672,,2022-06-03
MSFT,Microsoft,Information Technology,NMS,USD,272.42,2045.323902976,,2022-06-03
MAA,Mid-America Apartments,Real Estate,NYQ,USD,179.77,20.69835776,,2022-06-03
MRNA,Moderna,Health Care,NMS,USD,143.4,58.141523968,,2022-06-03
MHK,Mohawk Industries,Consumer Discretionary,NYQ,USD,139.61,9.456120832,,2022-06-03
MOH,Molina Healthcare,Health Care,NYQ,USD,287.38,16.782992384,,2022-06-03
TAP,Molson Coors,Consumer Staples,NYQ,USD,54.72,11.8987008,,2022-06-03
MDLZ,Mondelez International,Consumer Staples,NMS,USD,62.91,87.757561856,,2022-06-03
MPWR,Monolithic Power Systems,Information Technology,NMS,USD,448.25,20.66118656,,2022-06-03
MNST,Monster Beverage,Consumer Staples,NMS,USD,88.05,46.59068928,,2022-06-03
MCO,Moody's,Financials,NYQ,USD,282.38,52.494442496,,2022-06-03
